FlightNumber,date,BoosterVersion,PayloadMass,LaunchSite,Latitude,Longitude,Orbit,Flights,Reused,GridFins,Legs,LandingPad,ReusedCount,Serial,Block,Outcome,class
89,2020-10-24,Falcon 9,15600.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,3.0,True,True,True,5e9e3033383ecbb9e534e7cc,12.0,B1060,5.0,True ASDS,1
90,2020-11-05,Falcon 9,3681.0,CCSFS SLC 40,28.5618571,-80.577366,MEO,1.0,False,True,True,5e9e3032383ecb6bb234e7ca,8.0,B1062,5.0,True ASDS,1
91,2020-11-16,Falcon 9,8183.607718120806,KSC LC 39A,28.6080585,-80.6039558,ISS,1.0,False,True,True,5e9e3033383ecbb9e534e7cc,9.0,B1061,5.0,True ASDS,1
92,2020-11-21,Falcon 9,1440.0,VAFB SLC 4E,34.632093,-120.610829,PO,1.0,False,True,True,5e9e3032383ecb554034e7c9,6.0,B1063,5.0,True RTLS,1
93,2020-11-25,Falcon 9,15600.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,7.0,True,True,True,5e9e3032383ecb6bb234e7ca,9.0,B1049,5.0,True ASDS,1
94,2020-12-06,Falcon 9,2972.0,KSC LC 39A,28.6080585,-80.6039558,ISS,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,13.0,B1058,5.0,True ASDS,1
95,2020-12-13,Falcon 9,7000.0,CCSFS SLC 40,28.5618571,-80.577366,GTO,7.0,True,True,True,5e9e3033383ecbb9e534e7cc,12.0,B1051,5.0,True ASDS,1
97,2021-01-08,Falcon 9,3500.0,CCSFS SLC 40,28.5618571,-80.577366,GTO,4.0,True,True,True,5e9e3033383ecbb9e534e7cc,12.0,B1060,5.0,True ASDS,1
98,2021-01-20,Falcon 9,15600.0,KSC LC 39A,28.6080585,-80.6039558,VLEO,8.0,True,True,True,5e9e3033383ecbb9e534e7cc,12.0,B1051,5.0,True ASDS,1
99,2021-01-24,Falcon 9,8183.607718120806,CCSFS SLC 40,28.5618571,-80.577366,SSO,5.0,True,True,True,5e9e3032383ecb6bb234e7ca,13.0,B1058,5.0,True ASDS,1
100,2021-02-04,Falcon 9,15600.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,5.0,True,True,True,5e9e3032383ecb6bb234e7ca,12.0,B1060,5.0,True ASDS,1
101,2021-02-16,Falcon 9,15600.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,6.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,B1059,5.0,False ASDS,0
102,2021-03-04,Falcon 9,15600.0,KSC LC 39A,28.6080585,-80.6039558,VLEO,8.0,True,True,True,5e9e3032383ecb6bb234e7ca,9.0,B1049,5.0,True ASDS,1
103,2021-03-11,Falcon 9,15600.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,6.0,True,True,True,5e9e3033383ecbb9e534e7cc,13.0,B1058,5.0,True ASDS,1
104,2021-03-14,Falcon 9,15600.0,KSC LC 39A,28.6080585,-80.6039558,VLEO,9.0,True,True,True,5e9e3032383ecb6bb234e7ca,12.0,B1051,5.0,True ASDS,1
105,2021-03-24,Falcon 9,15600.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,6.0,True,True,True,5e9e3032383ecb6bb234e7ca,12.0,B1060,5.0,True ASDS,1
106,2021-04-07,Falcon 9,15600.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,7.0,True,True,True,5e9e3032383ecb6bb234e7ca,13.0,B1058,5.0,True ASDS,1
107,2021-04-23,Falcon 9,8183.607718120806,KSC LC 39A,28.6080585,-80.6039558,ISS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,9.0,B1061,5.0,True ASDS,1
108,2021-04-29,Falcon 9,15600.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,7.0,True,True,True,5e9e3033383ecbb9e534e7cc,12.0,B1060,5.0,True ASDS,1
109,2021-05-04,Falcon 9,15600.0,KSC LC 39A,28.6080585,-80.6039558,VLEO,9.0,True,True,True,5e9e3032383ecb6bb234e7ca,9.0,B1049,5.0,True ASDS,1
110,2021-05-09,Falcon 9,15600.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,10.0,True,True,True,5e9e3032383ecb6bb234e7ca,12.0,B1051,5.0,True ASDS,1
111,2021-05-26,Falcon 9,15600.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,2.0,True,True,True,5e9e3033383ecbb9e534e7cc,6.0,B1063,5.0,True ASDS,1
112,2021-06-03,Falcon 9,3328.0,KSC LC 39A,28.6080585,-80.6039558,ISS,1.0,False,True,True,5e9e3032383ecb6bb234e7ca,5.0,B1067,5.0,True ASDS,1
113,2021-06-06,Falcon 9,7000.0,CCSFS SLC 40,28.5618571,-80.577366,GTO,3.0,True,True,True,5e9e3033383ecbb9e534e7cc,9.0,B1061,5.0,True ASDS,1
114,2021-06-17,Falcon 9,3681.0,CCSFS SLC 40,28.5618571,-80.577366,MEO,2.0,True,True,True,5e9e3033383ecbb9e534e7cc,8.0,B1062,5.0,True ASDS,1
115,2021-06-30,Falcon 9,8183.607718120806,CCSFS SLC 40,28.5618571,-80.577366,SSO,8.0,True,True,True,5e9e3032383ecb267a34e7c7,12.0,B1060,5.0,True RTLS,1
116,2021-08-29,Falcon 9,8183.607718120806,KSC LC 39A,28.6080585,-80.6039558,ISS,4.0,True,True,True,5e9e3033383ecb075134e7cd,9.0,B1061,5.0,True ASDS,1
117,2021-09-14,Falcon 9,15600.0,VAFB SLC 4E,34.632093,-120.610829,PO,10.0,True,True,True,5e9e3032383ecb6bb234e7ca,9.0,B1049,5.0,True ASDS,1
118,2021-09-16,Falcon 9,8183.607718120806,KSC LC 39A,28.6080585,-80.6039558,LEO,3.0,True,True,True,5e9e3033383ecbb9e534e7cc,8.0,B1062,5.0,True ASDS,1
119,2021-11-11,Falcon 9,12519.0,KSC LC 39A,28.6080585,-80.6039558,ISS,2.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,B1067,5.0,True ASDS,1
120,2021-11-13,Falcon 9,13260.0,CCSFS SLC 40,28.5618571,-80.577366,LEO,9.0,True,True,True,5e9e3033383ecbb9e534e7cc,13.0,B1058,5.0,True ASDS,1
121,2021-11-24,Falcon 9,670.0,VAFB SLC 4E,34.632093,-120.610829,TLI,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,6.0,B1063,5.0,True ASDS,1
122,2021-12-01,Falcon 9,13260.0,CCSFS SLC 40,28.5618571,-80.577366,PO,9.0,True,True,True,5e9e3033383ecb075134e7cd,12.0,B1060,5.0,True ASDS,1
123,2021-12-09,Falcon 9,330.0,KSC LC 39A,28.6080585,-80.6039558,LEO,5.0,True,True,True,5e9e3033383ecbb9e534e7cc,9.0,B1061,5.0,True ASDS,1
124,2021-12-18,Falcon 9,13260.0,VAFB SLC 4E,34.632093,-120.610829,PO,11.0,True,True,True,5e9e3032383ecb6bb234e7ca,12.0,B1051,5.0,True ASDS,1
125,2021-12-19,Falcon 9,3500.0,CCSFS SLC 40,28.5618571,-80.577366,GTO,3.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,B1067,5.0,True ASDS,1
126,2021-12-21,Falcon 9,8183.607718120806,KSC LC 39A,28.6080585,-80.6039558,ISS,1.0,False,True,True,5e9e3033383ecbb9e534e7cc,1.0,B1069,5.0,True ASDS,1
127,2022-01-06,Falcon 9,13260.0,KSC LC 39A,28.6080585,-80.6039558,VLEO,4.0,True,True,True,5e9e3033383ecb075134e7cd,8.0,B1062,5.0,True ASDS,1
128,2022-01-13,Falcon 9,8183.607718120806,CCSFS SLC 40,28.5618571,-80.577366,LEO,10.0,True,True,True,5e9e3032383ecb267a34e7c7,13.0,B1058,5.0,True RTLS,1
129,2022-01-19,Falcon 9,13260.0,KSC LC 39A,28.6080585,-80.6039558,VLEO,10.0,True,True,True,5e9e3033383ecb075134e7cd,12.0,B1060,5.0,True ASDS,1
130,2022-01-31,Falcon 9,2240.0,CCSFS SLC 40,28.5618571,-80.577366,SSO,3.0,True,True,True,5e9e3032383ecb267a34e7c7,6.0,B1052,5.0,True RTLS,1
131,2022-02-02,Falcon 9,8183.607718120806,VAFB SLC 4E,34.632093,-120.610829,LEO,1.0,False,True,True,5e9e3032383ecb554034e7c9,3.0,B1071,5.0,True RTLS,1
132,2022-02-03,Falcon 9,13260.0,KSC LC 39A,28.6080585,-80.6039558,VLEO,6.0,True,True,True,5e9e3033383ecb075134e7cd,9.0,B1061,5.0,True ASDS,1
133,2022-02-21,Falcon 9,13260.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,11.0,True,True,True,5e9e3033383ecb075134e7cd,13.0,B1058,5.0,True ASDS,1
134,2022-02-25,Falcon 9,13260.0,VAFB SLC 4E,34.632093,-120.610829,VLEO,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,6.0,B1063,5.0,True ASDS,1
135,2022-03-03,Falcon 9,13260.0,KSC LC 39A,28.6080585,-80.6039558,VLEO,11.0,True,True,True,5e9e3033383ecbb9e534e7cc,12.0,B1060,5.0,True ASDS,1
136,2022-03-09,Falcon 9,13260.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,4.0,True,True,True,5e9e3033383ecb075134e7cd,6.0,B1052,5.0,True ASDS,1
137,2022-03-19,Falcon 9,13260.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,12.0,True,True,True,5e9e3033383ecbb9e534e7cc,12.0,B1051,5.0,True ASDS,1
138,2022-04-01,Falcon 9,8183.607718120806,CCSFS SLC 40,28.5618571,-80.577366,SSO,7.0,True,True,True,5e9e3033383ecbb9e534e7cc,9.0,B1061,5.0,True ASDS,1
139,2022-04-08,Falcon 9,8183.607718120806,KSC LC 39A,28.6080585,-80.6039558,ISS,5.0,True,True,True,5e9e3033383ecb075134e7cd,8.0,B1062,5.0,True ASDS,1
140,2022-04-17,Falcon 9,8183.607718120806,VAFB SLC 4E,34.632093,-120.610829,LEO,2.0,True,True,True,5e9e3032383ecb554034e7c9,3.0,B1071,5.0,True RTLS,1
141,2022-04-21,Falcon 9,13260.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,12.0,True,True,True,5e9e3033383ecbb9e534e7cc,12.0,B1060,5.0,True ASDS,1
142,2022-04-27,Falcon 9,8183.607718120806,KSC LC 39A,28.6080585,-80.6039558,ISS,4.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,B1067,5.0,True ASDS,1
143,2022-04-29,Falcon 9,13260.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,6.0,True,True,True,5e9e3033383ecbb9e534e7cc,8.0,B1062,5.0,True ASDS,1
144,2022-05-06,Falcon 9,13260.0,KSC LC 39A,28.6080585,-80.6039558,VLEO,12.0,True,True,True,5e9e3033383ecb075134e7cd,13.0,B1058,5.0,True ASDS,1
145,2022-05-13,Falcon 9,13260.0,VAFB SLC 4E,34.632093,-120.610829,VLEO,5.0,True,True,True,5e9e3032383ecb6bb234e7ca,6.0,B1063,5.0,True ASDS,1
146,2022-05-14,Falcon 9,13260.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,1.0,False,True,True,5e9e3033383ecbb9e534e7cc,2.0,B1073,5.0,True ASDS,1
147,2022-05-18,Falcon 9,13260.0,KSC LC 39A,28.6080585,-80.6039558,VLEO,5.0,True,True,True,5e9e3033383ecb075134e7cd,6.0,B1052,5.0,True ASDS,1
148,2022-05-25,Falcon 9,8183.607718120806,CCSFS SLC 40,28.5618571,-80.577366,SSO,8.0,True,True,True,5e9e3032383ecb267a34e7c7,9.0,B1061,5.0,True RTLS,1
149,2022-06-08,Falcon 9,3938.0,CCSFS SLC 40,28.5618571,-80.577366,GEO,7.0,True,True,True,5e9e3033383ecbb9e534e7cc,8.0,B1062,5.0,True ASDS,1
150,2022-06-01,Falcon 9,13260.0,KSC LC 39A,28.6080585,-80.6039558,VLEO,13.0,True,True,True,5e9e3033383ecb075134e7cd,12.0,B1060,5.0,True ASDS,1
151,2022-06-18,Falcon 9,2200.0,VAFB SLC 4E,34.632093,-120.610829,SSO,3.0,True,True,True,5e9e3032383ecb554034e7c9,3.0,B1071,5.0,True RTLS,1
152,2022-06-19,Falcon 9,700.0,CCSFS SLC 40,28.5618571,-80.577366,LEO,9.0,True,True,True,5e9e3033383ecbb9e534e7cc,9.0,B1061,5.0,True ASDS,1
153,2022-06-29,Falcon 9,3500.0,CCSFS SLC 40,28.5618571,-80.577366,MEO,2.0,True,True,True,5e9e3033383ecb075134e7cd,2.0,B1073,5.0,True ASDS,1
154,2022-07-07,Falcon 9,13260.0,CCSFS SLC 40,28.5618571,-80.577366,VLEO,13.0,True,True,True,5e9e3033383ecbb9e534e7cc,13.0,B1058,5.0,True ASDS,1
